rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
1,58490,Spectrum Solar PV Power Project,NV,36.23,-114.87,30.2,Tier 1 (Excellent),0.9590479841166157,0.9823928966629345,1.6518821899229628e-99,0.9650958034137911,0.985057964791756,0.9993296597938419,1.3650720445634121,0.10786699465677711,136,12,2013,2024,935.74103,6880.4487500000005,3.02186885066079e-104,0.0009969039598188595,55.58669362646819,1.6377761080313283e-05,1.0647352566380453e-15,0.14724621893703738,0.009171818138467418
2,57455,NRG Solar Borrego I,CA,33.298889,-116.35083,26.0,Tier 1 (Excellent),0.9488157543319554,0.9617198321058216,1.0235431646232552e-81,0.9249050354656496,0.9549955791335101,0.9840327487933684,1.210049535435974,0.10344510762415611,145,13,2012,2024,813.62607,5611.214275862069,7.892369504691006e-77,0.0011190219859302253,15.014115216993389,2.6757854232292254e-05,1.3538624491163272e-09,0.12517370442373443,0.007473816905784766
3,58030,Reeves Station Rd East,NJ,39.928333,-74.814444,5.5,Tier 1 (Excellent),0.9407909511377168,0.953809676573855,1.287254076041137e-77,0.9097528991259218,0.9584573348285474,0.993935472383469,1.1009143002165047,0.1787814760089511,147,13,2012,2024,105.29508,716.2930612244899,6.970875270233844e-81,0.0007283984134946735,38.74453507726666,1.9051970292901677e-05,6.720707303140766e-12,0.19682308355206823,0.005172241001008125
4,57650,Regulus Solar Project,CA,35.3,-118.851944,60.0,Tier 1 (Excellent),0.9402162896777748,0.969322729513049,5.530497805651773e-75,0.9395865539506275,0.9626661732001416,0.9903729438570392,1.3110077511333282,0.11453958872214345,122,11,2014,2024,1565.3370300000001,12830.631393442623,5.951475988962415e-70,0.0011019821826386248,29.419596037700728,2.5508349432136513e-05,4.865618868727682e-09,0.1501622886263536,0.01107702054794521
5,57589,Long Island Solar Farm LLC,NY,40.861111,-72.847777,31.5,Tier 1 (Excellent),0.9355533563337657,0.9444890906146041,2.615130684742777e-77,0.8920596422900018,0.9498074490558508,0.9879831506787268,1.1519068781774477,0.23133733192324915,158,14,2011,2024,656.757,4156.689873417721,1.2472859672511139e-80,0.0006288433556361752,52.813664507459265,1.751358916919898e-05,4.236682983320258e-11,0.26647906382160996,0.0032987821050443357
6,58973,White River Solar 2,CA,35.874722,-119.046111,19.8,Tier 1 (Excellent),0.9348247104618755,0.9653535497712822,4.920323217103475e-73,0.9319074760560154,0.9622974036191974,0.9920302705650568,1.330143420144423,0.1551557761682154,124,11,2014,2024,517.19709,4170.944274193548,7.79081488518142e-71,0.0009967539459710569,45.6648807176492,2.4393345469434782e-05,2.0842384105014112e-09,0.20637943476755263,0.008732664440167553
7,58660,Utah Red Hills Renewable Energy Park,UT,37.882778,-112.904167,80.0,Tier 1 (Excellent),0.9346386716933295,0.9713834783797706,1.252738782312063e-68,0.9435858620691822,0.9712816235752016,0.9953860738020058,1.393896252631647,0.1391492580068688,109,10,2015,2024,1866.04902,17119.715779816514,1.5109752024158545e-68,0.0010455837304675522,47.10020911778378,2.4715545114826064e-05,1.971759909180466e-09,0.19395962929224864,0.014081992700982432
8,57657,Avra Valley Solar,AZ,32.371667,-111.282777,25.0,Tier 1 (Excellent),0.932891402774716,0.9401005621495091,8.972229845093642e-68,0.883789066953823,0.938474670869037,0.9673170912485844,1.3020850910689967,0.10973841175278728,143,13,2012,2024,823.20101,5756.65041958042,5.597189393151439e-67,0.0011549282802081765,24.092815684309386,3.5269121419597904e-05,6.739384707304163e-08,0.1428887498608951,0.006721486527171456
9,58039,Axium Modesto Solar,CA,37.734167,-120.995556,25.0,Tier 1 (Excellent),0.9325234603656265,0.9549326280013392,2.5723154663402466e-77,0.911896324021544,0.9441229727601951,0.9568120072352921,1.3106566043276722,0.16303253500673268,145,13,2012,2024,736.23203,5077.462275862069,8.299410438493297e-71,0.0010303664640099366,36.58798038376776,2.6782306647804787e-05,3.0587068621732507e-07,0.2136796687268566,0.004574264639470119
10,58592,Solar Gen 2,CA,33.08,-115.47,163.2,Tier 1 (Excellent),0.9304831118197628,0.9522680172677139,1.1047277876911457e-63,0.9068143767109831,0.9536119436522913,0.9862222811594706,1.1121793682790289,0.11724273383008457,122,11,2014,2024,3952.1139900000003,32394.376967213117,2.0719897714346858e-64,0.0010523779421756064,9.801081694683347,3.079614618257233e-05,2.4272968582864025e-08,0.1303949496464498,0.00942580722616984
